benchmark method,aggregate load curtailment cost,aggregate up-FRP shortfall penalty,aggregate down-FRP shortfall penalty,aggregate line overflow penalty,aggregate total cost,aggregate total generator cost
st-FRP,0.00,0.00,0.00,0.00,"9,043,155.87","9,043,155.87"
nf-FRP,"9,920.14",0.00,0.00,0.00,"9,078,520.46","9,068,600.32"
90-FRP,"54,704.26",0.00,0.00,0.00,"9,091,490.32","9,036,786.06"
95-FRP,"12,847.21",0.00,0.00,0.00,"9,063,730.66","9,050,883.45"
99-FRP,0.00,0.00,0.00,0.00,"9,070,521.51","9,070,521.51"
