benchmark method,aggregate load curtailment cost,aggregate up-FRP shortfall penalty,aggregate down-FRP shortfall penalty,aggregate line overflow penalty,aggregate total cost,aggregate total generator cost
st-FRP,"7,266.13",0.00,0.00,0.00,"9,057,441.84","9,050,175.71"
nf-FRP,"3,957.42",0.00,0.00,0.00,"9,090,767.64","9,086,810.23"
90-FRP,"71,872.87",0.00,0.00,0.00,"9,122,014.92","9,050,142.04"
95-FRP,"16,907.55",0.00,0.00,0.00,"9,080,978.60","9,064,071.05"
99-FRP,0.00,0.00,0.00,0.00,"9,083,553.46","9,083,553.46"
